nombre_original;nombre_amigable;TAG MANTTO;TIPO;Material;TAMAÑOS;ANSI;OBSERVACIONES;TécniFicha;Imagen
Solid1_123;"TAPÓN 1/2"" ";;Tornillería;Acero, forjado;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid7_5;"TEE RECTA 4""";;Accesorios soldados;Acero,Carbono;;;;;
Solid3_331;"BRIDA WN 4""";;Accesorios soldados;Acero,Carbono;;;;;
Solid2_22;"VÁLVULA DE BOLA 2 CUERPOS 4""";VAL-101;Bola;WCB/XCC;de 2 a 12 in;150-300-600;Conexiones: FLG-RF x FLG-RF / Modelo: Side Entry;Activos/Documentos_Técnicos/Válvulas/TF-104.pdf;Activos/Imagenes/Valvulas/Valvulabola.png
Solid1_464;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Sólido1_13;"FILTRO 10 """;;Filtro vertical;Acero al carbono;de 2 a 12 in;150-300-600;TEMP: -20°F a 350 °F / Velocidad recomendada < 60 fps;"Activos/Documentos_Técnicos/Filtro/TF-102.pdf""";Activos/Imagenes/Filtros/FLT01.png
Solid1_467;"TUBO ROSCADO 2""";;Tubería;Acero,Carbono;;;;;
Solid1_468;"CODO 2""";;Accesorios soldados;Acero;;;;;Activos/Imagenes/Codos/CODO-02.png
Solid1_469;"TUBERÍA 2""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Srf1_3;VÁLVULA DE COMPUERTA 2;;;Génerico;;;;;
Solid1_470;"TUBERÍA 2""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_471;"UNIÓN UNIVERSAL 2""";;Accesorios roscados;Acero inoxidable;;;;;Activos/Imagenes/Conector/UNIV-01.png
Solid1_472;"TUBERÍA 2""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_473;"CODO 2""-90°";;Accesorios soldados;Acero,Carbono;;;;;Activos/Imagenes/Codos/CODO-02.png
Solid1_474;"TUBERÍA 2""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_445;"CAP 10""";;Accesorios soldados;Génerico;;;;;
Solid1_446;"FILTRO  10""";;Filtro vertical;Acero al carbono;de 2 a 12 in;150-300-600;TEMP: -20°F a 350 °F / Velocidad recomendada < 60 fps;"Activos/Documentos_Técnicos/Filtro/TF-102.pdf""";"Activos/Imagenes/Filtros/FLT01.png"""
Solid3_353;"BRIDA WN 10""";;Accesorios soldados;Acero,Carbono;;;;;
Solid3_301;"BRIDA CIEGA 10""";;Accesorios soldados;Génerico;;;;;
Solid3_369;"ESPARRÁGO BRIDA 10""";;Tornillería;Génerico;;;;;Activos/Imagenes/Esparrágo/ESP01.png
Solid2_350;"ESPARRÁGO BRIDA 10""";;Tornillería;Génerico;;;;;Activos/Imagenes/Esparrágo/ESP01.png
Solid1_465;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_490;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid3_324;"BRIDA CIEGA 8""";;Accesorios soldados;Génerico;;;;;
Solid3_355;"BRIDA WN 8""";;Accesorios soldados;Acero,Carbono;;;;;
Solid2_360;"ESPARRÁGO BRIDA 8""";;Tornillería;Génerico;;;;;Activos/Imagenes/Esparrágo/ESP01.png
Solid3_377;"ESPARRÁGO BRIDA 8""";;Tornillería;Génerico;;;;;Activos/Imagenes/Esparrágo/ESP01.png
Solid1_476;"FILTRO 8""";;Filtro vertical;Acero al carbono;de 2 a 12 in;150-300-600;TEMP: -20°F a 350 °F / Velocidad recomendada < 60 fps;"Activos/Documentos_Técnicos/Filtro/TF-102.pdf""";"Activos/Imagenes/Filtros/FLT01.png"""
Solid1_475;"FILTRO 8""";;Filtro vertical;Acero al carbono;de 2 a 12 in;150-300-600;TEMP: -20°F a 350 °F / Velocidad recomendada < 60 fps;"Activos/Documentos_Técnicos/Filtro/TF-102.pdf""";"Activos/Imagenes/Filtros/FLT01.png"""
Sólido1_35;"FILTRO 8""";;Filtro vertical;Acero al carbono;de 2 a 12 in;150-300-600;TEMP: -20°F a 350 °F / Velocidad recomendada < 60 fps;"Activos/Documentos_Técnicos/Filtro/TF-102.pdf""";"Activos/Imagenes/Filtros/FLT01.png"""
Sólido1_34;"FILTRO 8""";;Filtro vertical;Acero al carbono;de 2 a 12 in;150-300-600;TEMP: -20°F a 350 °F / Velocidad recomendada < 60 fps;"Activos/Documentos_Técnicos/Filtro/TF-102.pdf""";"Activos/Imagenes/Filtros/FLT01.png"""
Solid1_519;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_520;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_517;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_518;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_516;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_521;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_513;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_515;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_514;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_511;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_512;"TAPÓN DE CABEZA HEXAGONAL 1""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_492;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_493;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_494;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_495;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_496;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_497;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_498;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_499;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_500;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_501;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid1_502;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Soldadura;SOLDADURA DE EMPALME ;;;;;;;;
Soldadura_1;SOLDADURA DE EMPALME ;;;;;;;;
Solid1_503;"HALF COUPLING 1""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
Solid2_326;"NIPLE 1""-2""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Esparrágo/Niple01.png
Solid20;"VÁLVULA DE GLOBO 1""";;Válvula de globo;Carbon steel;de 1/2 a 2 in;150-300-600;Aplicación :drenaje / Accionamiento: Volanta multi vueltas;Activos/Documentos_Técnicos/Válvulas/TF-107.pdf;Activos/Imagenes/Valvulas/VG-02.png
Solid1_505;"VÁLVULA DE GLOBO 1""";;Válvula de globo;Carbon steel;de 1/2 a 2 in;150-300-600;Aplicación :drenaje / Accionamiento: Volanta multi vueltas;Activos/Documentos_Técnicos/Válvulas/TF-107.pdf;Activos/Imagenes/Valvulas/VG-02.png
Solid19;"VÁLVULA DE GLOBO 1""";;Válvula de globo;Carbon steel;de 1/2 a 2 in;150-300-600;Aplicación :drenaje / Accionamiento: Volanta multi vueltas;Activos/Documentos_Técnicos/Válvulas/TF-107.pdf;Activos/Imagenes/Valvulas/VG-02.png
Solid2_328;"NIPLE ROSCADO 1""-3""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Esparrágo/Niple01.png
Solid1_507;"UNIÓN UNIVERSAL 1""";;Accesorios roscados;Acero inoxidable;;;;;Activos/Imagenes/Conector/UNIV-01.png
Solid1_508;"TUBERÍA 1"" ";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero, carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_509;"CODO 1""";;Accesorios roscados;Acero;;;;;Activos/Imagenes/Codos/CODO-02.png
Solid1_510;"TUBO ROSCADO 1""";;Tubería;Acero, carbono;;;;;
Sólido1_10;"SOPORTE TUBO 4""";;Soportes;Génerico;;;;;
Solid1_140;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero, carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid2_340;"ESPARRÁGO BRIDA 4""";;Tornillería;Génerico;;;;;Activos/Imagenes/Esparrágo/ESP01.png
Solid2_21;"VÁLVULA DE BOLA 2 CUERPOS 4""";VAL-101;Bola;WCB/XCC;de 2 a 12 in;150-300-600;Conexiones: FLG-RF x FLG-RF / Modelo: Side Entry;Activos/Documentos_Técnicos/Válvulas/TF-104.pdf;Activos/Imagenes/Valvulas/Valvulabola.png
Sólido1_40;ACTUADOR PA70;;Actuador neumático;Aluminio;Para Válvulas de 2 – 6in;150-300-600;Rango de Operación: 40 – 120 Psig /Dimensionamiento recomendado: 80 Psig;Activos/Documentos_Técnicos/Actuadores/TF-103.pdf;Activos/Imagenes/Actuadores/ACT03.png
Solid1_118;SOPORTE;;;;;;;;
Solid1_677;BASE TABLERO;;;;;;;;
Solid1_657;FILTRO TABLERO ACTUADOR;;;;;;;;
Solid1_627;REGULADOR 1301F_B;;;;;;;;
Solid1_545;"TEE 1/8""";;;;;;;;Activos/Imagenes/Conector/CON-03.png
Solid2_366;REGULADOR FISHER 67-CF;;;;;;;;
Solid1_530;MANÓMETRO CAUGE BAKE CONECTION;;MAN/ACC;316;;;;;Activos/Imagenes/Manómetros/PI01.png
Solid1_557;MANÓMETRO CAUGE BAKE CONECTION;;MAN/ACC;316;;;;;Activos/Imagenes/Manómetros/PI01.png
Solid8_3;VERSA SELENOIDE;;;;;;;;
Solid5_1;VERSA SELENOIDE;;;;;;;;
Solid8_6;VERSA SELENOIDE;;;;;;;;
Solid1_539;"TEE 1/8""";;;;;;;;Activos/Imagenes/Conector/CON-03.png
Sólido5_1;BARRIDO DE TUBERÍA;;Tubería;Cobre;;;;;
Sólido6_2;BARRIDO DE TUBERÍA;;Tubería;Cobre;;;;;
Sólido4;BARRIDO DE TUBERÍA;;Tubería;Cobre;;;;;
Sólido5;BARRIDO DE TUBERÍA;;Tubería;Cobre;;;;;
Sólido7;BARRIDO DE TUBERÍA;;Tubería;Cobre;;;;;
Solid1_536;"TEE 1/8""";;;;;;;;Activos/Imagenes/Conector/CON-03.png
Solid1_635;LLAVE;;;;;;;;
Solid1_121;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero, carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid7_3;"TEE RECTA 4""";;Accesorios soldados;Acero, carbono;;;;;
Srf1_2;VÁLVULA ALIVIO DE PRESIÓN;;Equipos;Genérico;;;;;
Srf1_1;VÁLVULA ALIVIO DE PRESIÓN;;Equipos;Genérico;;;;;
Solid1_531;"NIPLE HEXAGONAL 1/4""";;Tornillería;Hierro, maleable;;;;;Activos/Imagenes/Esparrágo/Niple01.png
Solid1_546;"NIPLE HEXAGONAL 1/4""";;Tornillería;Hierro, maleable;;;;;Activos/Imagenes/Esparrágo/Niple01.png
Solid1_547;"NIPLE HEXAGONAL 1/4""";;Tornillería;Hierro, maleable;;;;;Activos/Imagenes/Esparrágo/Niple01.png
Solid1_537;"NIPLE HEXAGONAL 1/4""";;Tornillería;Hierro, maleable;;;;;Activos/Imagenes/Esparrágo/Niple01.png
Solid1_538;"NIPLE HEXAGONAL 1/4""";;Tornillería;Hierro, maleable;;;;;Activos/Imagenes/Esparrágo/Niple01.png
Solid1_554;"CONECTOR RECTO 1/4""";;Tornillería;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Conector/CON-01.png
Sólido2;BARRIDO DE TUBERÍA;;Tubería;Cobre;;;;;
Solid1_555;"CONECTOR RECTO 1/4""";;Tornillería;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Conector/CON-01.png
Solid1_541;"CODO 1/4"" 90°";;Accesorios roscados;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Codos/CON-02.png
Solid1_542;SELENOIDE;;;Genérico;;;;;
Sólido1_15;SELENOIDE;;;Genérico;;;;;
Solid1_548;"CONECTOR RECTO 1/4""";;Tornillería;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Conector/CON-01.png
Sólido1_38;YEE;;Accesorios roscados;Génerico;;;;;
Solid1_549;"CONECTOR RECTO 1/2""";;Accesorios roscados;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Conector/CON-01.png
Solid1_533;"TAPÓN 1/4""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_532;"TAPÓN 1/4""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_550;"CONECTOR RECTO 1/4""";;Tornillería;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Conector/CON-01.png
Solid1_556;"CODO 1/4"" 90°";;Accesorios roscados;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Codos/CON-02.png
Solid1_551;"CODO 1/4"" 90°";;Accesorios roscados;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Codos/CON-02.png
Solid1_31;"CONECTOR RECTO 1/4""";;Tornillería;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Conector/CON-01.png
Solid1_544;"TAPON 1/2""";;Tornillería;Acero;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
Solid1_552;"CODO 1/4"" 90°";;Accesorios roscados;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Codos/CON-02.png
Solid1_543;"CONECTOR RECTO 1/4""";;Tornillería;Acero inoxidable, austenítico;;;;;Activos/Imagenes/Conector/CON-01.png
Solid1_120;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero, carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid7_4;"TEE RECTA 4""";;;Acero, carbono;;;;;
Solid1_133;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero, carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid3_331;"BRIDA WN 4""";;Accesorios soldados;Acero, carbono;;;;;
Solid2_20;"VÁLVULA DE BOLA 2 CUERPOS 4""";VAL-101;Bola;WCB/XCC;de 2 a 12 in;150-300-600;Conexiones: FLG-RF x FLG-RF / Modelo: Side Entry;Activos/Documentos_Técnicos/Válvulas/TF-104.pdf;Activos/Imagenes/Valvulas/Valvulabola.png
Solid1_147;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero, carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_3 ;"CODO 4""-90°";;Accesorios soldados;Acero,Carbono;;;;;Activos/Imagenes/Codos/CODO-02.png
Solid1_137;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero, carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid2_19;"VÁLVULA DE BOLA 2 CUERPOS 4""";VAL-101;Bola;WCB/XCC;de 2 a 12 in;150-300-600;Conexiones: FLG-RF x FLG-RF / Modelo: Side Entry;Activos/Documentos_Técnicos/Válvulas/TF-104.pdf;Activos/Imagenes/Valvulas/Valvulabola.png
Solid1_139;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero, carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_117;"REDUCCIÓN CONCÉNTRICA 4""-2""";;Accesorios soldados;Acero, carbono;;;;;
Solid1_138;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero, carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_113;"REDUCCIÓN CONCÉNTRICA 4""-2""";;Accesorios soldados;Acero, carbono;;;;;
Solid1_122;"TAPÓN DE 1/2"" CABEZA HEXAGONAL";;Tornillería;Acero,forjado;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
     3_6;"TAPÓN DE 1/2"" CABEZA HEXAGONAL";;Tornillería;Acero,forjado;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
          6_14;"VÁLVULA DE BOLA 3/4""";;Válvula de blqueo;Carbon steel;de 2 a 12 in;;Modelo: Bola flotante / Paso: Completo /Rating: #2000 , #3000, #6000;Activos/Documentos_Técnicos/Válvulas/TF-105.pdf;Activos/Imagenes/Valvulas/VB03.png
Solid2_4;"NIPLE ROSCADO 3/4""-2""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Esparrágo/Niple01.png
Solid1_559;"HALF COUPLING 3/4""";;Accesorios roscados;Génerico;;;;;Activos/Imagenes/Half coupling/Half01.png
     3_8;"TAPÓN DE 1/2"" CABEZA HEXAGONAL";;Tornillería;Acero,forjado;;;;;Activos/Imagenes/Esparrágo/TAPON01.png
